accx,accy,accz
0,1.0056,0.0543
-0.0015,1.0046,0.0553
-0.0012,1.0044,0.0555
0,1.0056,0.0543
0.0003,1.0051,0.0548
0.0003,1.0051,0.0548
-0.0015,1.0046,0.0553
-0.0012,1.0044,0.0555
0.0003,1.0051,0.0548
-0.0003,1.0058,0.0541
-0.0015,1.0046,0.0553
-0.0015,1.0046,0.0553
0.0003,1.0051,0.0548
0.0003,1.0051,0.0548
-0.0017,1.0049,0.055
-0.0017,1.0049,0.055
-0.0005,1.0037,0.0562
0.0003,1.0051,0.0548
-0.0017,1.0049,0.055
-0.001,1.0041,0.0557
-0.001,1.0041,0.0557
0,1.0056,0.0543
0.0003,1.0051,0.0548
-0.0012,1.0044,0.0555
-0.0012,1.0044,0.0555
-0.0012,1.0044,0.0555
-0.001,1.0041,0.0557
-0.001,1.0041,0.0557
0.0003,1.0051,0.0548
-0.0015,1.0046,0.0553
-0.001,1.0041,0.0557
-0.0017,1.0049,0.055
0,1.0056,0.0543
0.0001,1.0053,0.0238
0.0001,1.0053,0.0238
0.0001,1.0053,0.0238
-0.0015,1.0046,0.0245
0,1.0056,0.0235
0,1.0056,0.0235
0.0001,1.0053,0.0238
-0.001,1.0041,0.025
0.0003,1.0051,0.024
0.0001,1.0053,0.0238
0,1.0056,0.0235
-0.0015,1.0046,0.0245
0.0003,1.0051,0.024
0.0001,1.0053,0.0238
-0.0003,1.0058,0.0233
-0.001,1.0041,0.0504
-0.0017,1.0049,0.0492
0.0001,1.0053,0.0487
0,1.0056,0.0485
0,1.0056,0.0485
-0.0015,1.0046,0.0494
-0.0017,1.0049,0.0492
0.0001,1.0053,0.0487
0.0001,1.0053,0.0487
-0.001,1.0041,0.0499
0.0001,1.0053,0.0487
-0.001,1.0041,0.0499
0,1.0056,0.0485
-0.0017,1.0049,0.0492
0.0001,1.0053,0.0487
0,1.0056,0.0485
-0.001,1.0041,0.0499
-0.0015,1.0046,0.0494
0,1.0056,0.0485
-0.0015,1.0046,0.0494
-0.0015,1.0046,0.0494
-0.0012,1.0044,0.0497
-0.001,1.0041,0.0499
-0.0015,1.0046,0.0494
