accx,accy,accz
0.0737,0.9066,-0.3362
0.0734,0.8416,-0.3064
0.0744,0.8399,-0.3048
0.0724,0.8116,-0.2698
0.0742,0.7815,-0.2442
0.0478,0.7554,-0.2437
0.0199,0.7564,-0.2447
-0.0059,0.7579,-0.2461
-0.0306,0.7581,-0.217
-0.0289,0.7933,-0.1885
0.0011,0.8255,-0.1628
0.0043,0.8248,-0.1628
0.0297,0.8238,-0.1618
0.0309,0.8226,-0.1606
0.0891,0.8231,-0.1611
0.091,0.8236,-0.1615
0.0326,0.893,-0.1613
0.0011,0.9194,-0.1636
0,0.9213,-0.1648
-0.001,0.9883,-0.1633
0.0272,1.0158,-0.1618
0.0847,1.0535,-0.1606
0.0854,1.0552,-0.1902
0.1098,1.1194,-0.1902
0.1482,1.1832,-0.1584
0.148,1.2228,-0.1177
0.148,1.3217,-0.0839
0.1164,1.4346,-0.1738
0.0162,1.437,-0.3996
-0.0413,1.2858,-0.5468
-0.0662,1.1561,-0.5491
-0.1622,0.7661,-0.5473
-0.2229,0.654,-0.5153
-0.2519,0.7332,-0.5175
-0.2172,0.9084,-0.517
-0.119,1.0505,-0.5459
-0.0274,1.129,-0.5447
0.0495,1.0875,-0.4687
0.0201,0.9958,-0.445
-0.0112,0.923,-0.4459
-0.0846,0.8527,-0.4459
-0.1637,0.8224,-0.3849
-0.2663,0.8224,-0.3311
-0.2656,0.8216,-0.3304
-0.267,0.8206,-0.3045
-0.2246,0.8221,-0.306
-0.1212,0.8213,-0.2796
-0.0589,0.794,-0.2544
-0.0262,0.7952,-0.2227
0.0018,0.794,-0.1936
0.0011,0.7947,-0.1943
-0.032,0.8211,-0.168
-0.0606,0.8519,-0.1673
-0.089,0.8788,-0.1662
-0.1239,0.8795,-0.1406
-0.1542,0.8805,-0.1415
-0.153,0.8793,-0.1403
-0.1535,0.8798,-0.1152
-0.1545,0.8783,-0.0858
-0.1542,0.8805,-0.0881
-0.1275,0.8783,-0.0858
-0.1014,0.9091,-0.0865
-0.1016,0.9678,-0.0868
-0.1032,0.9678,-0.0858
-0.1029,1.0021,-0.0881
-0.1344,1.0019,-0.0878
-0.1359,1.0288,-0.059
-0.1347,1.0843,-0.0338
-0.2597,1.1241,-0.0318
-0.3162,1.2902,-0.0712
-0.229,1.4625,-0.0724
-0.172,1.463,-0.1662
-0.172,1.463,-0.1662
-0.1428,1.4097,-0.2197
-0.1428,1.2191,-0.2593
-0.0492,0.8211,-0.4743
-0.0225,0.7573,-0.5549
-0.0225,0.7573,-0.5549
0.0036,0.8702,-0.5835
0.0031,0.942,-0.5337
-0.0665,1.03,-0.4157
-0.0992,1.0952,-0.369
-0.0706,1.0293,-0.3697
0,0.9457,-0.37
0.0311,0.904,-0.3409
0.0311,0.8416,-0.3145
0.0585,0.7801,-0.2766
0.0572,0.7784,-0.2439
0.0583,0.7798,-0.2454
0.0581,0.7801,-0.2456
0.025,0.7789,-0.2444
0.0257,0.8067,-0.2437
0,0.8106,-0.1855
0.0008,0.8096,-0.1865
-0.0245,0.8106,-0.1626
-0.0264,0.8101,-0.1298
0.0026,0.8104,-0.1315
0.0309,0.8674,-0.1277
0.0309,0.8951,-0.1277
0.0299,0.9222,-0.1286
0.0309,0.9201,-0.1577
0.0309,0.9201,-0.1577
0.0306,0.9467,-0.1557
0.0626,0.9743,-0.1555
0.0077,1.0044,-0.1328
0.0096,1.0049,-0.1333
0.0436,1.0027,-0.131
0.0455,1.0007,-0.1291
0.0761,1.0019,-0.1303
0.1653,1.1319,-0.1606
0.1946,1.4148,-0.2419
0.1946,1.4148,-0.2419
0.158,1.535,-0.2419
0.0891,1.6608,-0.2424
-0.0259,1.3694,-0.3448
-0.0662,1.0579,-0.4618
-0.0955,0.9186,-0.4618
-0.0951,0.6745,-0.4613
-0.0963,0.5609,-0.3702
-0.1195,0.7317,-0.3338
-0.119,0.9347,-0.4303
-0.119,1.0205,-0.466
-0.0919,1.1175,-0.4951
-0.0667,1.1439,-0.4633
-0.1256,0.9926,-0.4331
-0.1498,0.8094,-0.3961
-0.1505,0.7728,-0.3499
-0.1493,0.775,-0.3138
-0.1212,0.7738,-0.2693
-0.0944,0.7994,-0.2693
-0.0926,0.8265,-0.2701
-0.0926,0.8265,-0.2701
-0.0946,0.826,-0.2402
-0.0936,0.825,-0.2136
-0.0934,0.8519,-0.1885
-0.0946,0.8532,-0.1618
-0.0944,0.8529,-0.1328
-0.0636,0.8539,-0.1076
-0.0384,0.881,-0.1068
-0.0655,0.9105,-0.1071
-0.1205,0.9108,-0.1059
-0.1224,0.942,-0.1079
-0.1224,0.942,-0.1079
-0.1207,0.9403,-0.1061
-0.1209,0.9406,-0.08
-0.1209,0.9091,-0.08
-0.1214,0.9103,-0.0527
-0.1226,0.9091,-0.0514
-0.1214,0.9103,-0.0527
-0.1224,0.9685,-0.0536
-0.1461,1.0219,-0.0529
-0.1461,1.0219,-0.0529
-0.1468,1.1231,-0.0536
-0.2436,1.1766,-0.0527
-0.3171,1.255,-0.0529
-0.2216,1.4353,-0.0856
-0.0787,1.5343,-0.113
-0.0785,1.5042,-0.1482
-0.1102,1.3415,-0.2214
-0.109,1.118,-0.3008
-0.0816,0.9033,-0.326
-0.0176,0.7955,-0.3944
0.0218,0.7612,-0.4318
0.0721,0.8087,-0.4599
0.0732,0.9541,-0.4613
-0.0362,0.9963,-0.3893
-0.0362,0.9963,-0.3893
-0.0366,0.9968,-0.36
-0.0084,0.9222,-0.3311
-0.0077,0.8732,-0.2134
-0.0073,0.8472,-0.1875
-0.0079,0.8204,-0.1855
0.0246,0.8197,-0.1848
0.0595,0.8439,-0.1841
0.0593,0.8734,-0.2163
0.0604,0.8746,-0.2163
0.0597,0.873,-0.2146
0.0595,0.8732,-0.2148
0.0341,0.8742,-0.1813
0.0326,0.8732,-0.1804
0.0348,0.8734,-0.1806
0.0341,0.9035,-0.155
0.0346,0.903,-0.1545
0.0336,0.9362,-0.1196
0.0341,0.9357,-0.1191
0.0326,0.9347,-0.1181
0.0326,0.9347,-0.1181
0.0343,0.9355,-0.1188
0.0321,0.9352,-0.1186
0.0311,0.9362,-0.1196
0.0329,0.9345,-0.1179
0.0048,0.9634,-0.0514
0.0048,0.9653,-0.0534
0.0641,0.9621,-0.0502
0.0644,0.9618,-0.1203
0.0893,0.9613,-0.1198
0.0907,0.9623,-0.1208
