accx,accy,accz
-0.056,0.8331,0.292
-0.1351,0.8316,0.2935
-0.2766,0.9985,0.2542
-0.2781,1.0279,0.2527
0.0011,0.956,0.4235
0.1059,0.9538,0.4256
0.22,1.0754,0.2659
0.177,1.2895,-0.2962
0.0632,1.3486,-0.4667
-0.0765,1.5269,0.0357
-0.1395,1.491,0.3033
-0.097,1.3517,0.3042
0.0326,1.1231,-0.0558
0.067,1.0165,-0.1442
-0.1403,1.167,0.117
-0.2092,1.1681,0.188
-0.0354,1.0586,0.0995
0.0372,0.8819,-0.0809
-0.0354,0.8131,-0.0118
-0.0692,0.8133,0.068
-0.0701,0.8407,0.1041
-0.0694,0.9,0.1049
-0.0452,0.9003,0.0438
-0.0459,0.7354,0.0424
-0.0459,0.7354,0.0424
-0.0704,0.7368,0.0767
-0.0711,0.7947,0.076
-0.0713,0.8269,0.1134
-0.0706,0.7444,0.1872
-0.0435,0.7009,0.1875
-0.0152,0.7676,0.1566
-0.0161,0.857,0.1557
0.0094,1.0512,0.1545
-0.1165,1.1067,0.2607
-0.1461,1.0102,0.2871
-0.0675,0.8775,0.2876
-0.068,0.8475,0.2871
-0.0682,1.0777,0.3147
-0.0682,1.0777,0.3147
-0.2085,1.1388,0.4079
-0.283,1.1679,0.4066
-0.1682,1.1693,-0.4105
-0.208,1.3144,-0.4867
-0.208,1.3144,-0.4867
-0.3455,1.7945,-0.1987
-0.4628,1.8616,0.117
-0.1161,1.1348,-0.2691
-0.1484,0.8423,-0.3663
-0.2062,0.764,-0.3656
-0.277,0.7645,0.0746
-0.2165,0.9215,0.6658
-0.0318,0.9638,0.3868
-0.0501,0.9047,-0.1364
-0.0501,0.9047,-0.1364
-0.1784,0.881,-0.2278
-0.2346,0.881,-0.1841
-0.1664,0.8812,0.2651
-0.198,0.9433,0.1926
-0.198,0.9433,0.1926
-0.2283,0.9736,0.109
-0.2585,1.0073,0.0482
-0.1468,1.0615,0.1384
-0.1207,1.0283,0.1379
-0.1217,1.0293,0.1368
-0.1498,1.0281,0.1381
-0.1784,1.0298,0.1364
-0.1491,1.0833,0.1613
-0.1254,1.0339,0.1279
-0.1254,1.0339,0.1279
-0.1261,0.9929,0.0921
-0.0955,0.9941,0.09
0.0136,0.9923,0.0916
0.0419,0.9653,-0.0518
0.0136,0.9667,-0.0534
0.0118,0.9685,-0.0551
0.0458,0.9413,-0.0529
0.0458,1.0666,-0.0888
-0.0122,1.0686,-0.0907
-0.0122,1.0686,-0.0907
-0.012,1.0403,-0.0611
-0.0396,1.0117,-0.0331
-0.068,1.0132,0.0291
-0.0667,0.9827,0.0303
-0.0662,0.9846,0.0284
-0.0112,0.9562,-0.0003
-0.013,0.8961,0.032
-0.0115,0.8321,0.0572
-0.0122,0.805,0.0841
-0.0115,0.8619,0.0829
-0.0115,0.8619,0.0829
-0.1056,0.7624,0.0841
-0.1044,0.6831,0.0829
-0.1051,0.6487,0.0821
-0.0484,0.731,0.0504
-0.0482,0.8211,0.0492
-0.0487,0.9291,0.0958
-0.0157,0.9279,0.1393
-0.0157,0.9279,0.1393
0.0407,0.9508,0.142
-0.0662,0.9904,0.1376
-0.1626,0.989,0.2784
0.0136,1.1532,0.2786
0.1117,1.1861,0.2461
0.1081,1.0579,0.2473
0.0246,0.934,0.3707
-0.0366,1.0535,0.3688
-0.068,1.1619,0.1449
-0.1952,1.0703,-0.0543
-0.2773,0.9494,-0.0917
-0.281,0.9113,-0.2197
-0.4542,1.6838,0.0634
-0.1556,1.4735,0.0638
-0.0802,1.2916,-0.2309
-0.0523,1.1165,-0.3576
-0.1044,0.8443,-0.264
-0.2383,0.9003,0.3473
-0.1205,1.0009,0.2461
-0.1205,1.0009,0.2461
-0.0941,0.9641,0.0958
-0.1552,0.8996,-0.1562
-0.2302,0.8724,-0.1555
-0.2605,0.8734,0.0122
-0.2318,0.8478,0.1566
-0.1969,0.847,0.1557
-0.1649,0.8798,0.1559
-0.1354,0.9044,0.0284
-0.1073,0.8705,-0.0055
-0.0804,0.7918,-0.0055
-0.0804,0.7918,-0.0055
-0.1322,0.8204,0.076
-0.1708,0.9028,0.2576
-0.0626,0.902,0.2583
-0.0626,0.902,0.2583
-0.1747,1.0835,0.219
-0.2016,1.1854,0.219
-0.0699,1.0447,0.3469
0.1037,0.7918,0.3937
0.1347,0.6626,0.393
0.0898,0.6636,0.263
-0.3126,1.0586,0.0464
-0.452,1.2418,0.227
-0.3015,1.2448,0.5167
0.2635,1.0444,0.2982
0.2635,1.0444,0.2982
0.2063,1.1304,-0.4024
0.0106,1.1304,-0.5735
-0.0926,1.2851,-0.025
0.144,1.5643,-0.1056
0.144,1.5643,-0.1056
0.1821,1.0762,-0.3793
0.0949,0.887,-0.381
-0.056,0.7129,-0.162
-0.0531,0.9669,0.2236
-0.0531,0.9669,0.2236
-0.0266,1.0889,0.0369
-0.0271,0.9816,0.0115
-0.0264,0.8863,0.0122
