gFx,gFy,gFz
-0.0675,0.806,-0.0473
-0.0403,0.8351,-0.1217
-0.0921,0.956,-0.123
-0.1161,0.9567,-0.1224
-0.1174,0.9872,-0.1237
-0.1183,1.0102,-0.1223
-0.1163,1.0112,-0.0963
-0.031,0.8849,-0.0966
-0.0331,0.8856,-0.0565
-0.0331,0.8856,-0.0565
-0.0318,0.9147,0.0336
-0.0052,0.8416,0.0313
-0.0049,0.8106,0.0037
-0.0296,0.838,0.0035
-0.1029,0.8665,0.0035
-0.1019,0.8656,0.0045
-0.1009,0.8646,0.0054
-0.042,0.9487,-0.0236
0.0912,0.9765,0.0291
0.0919,0.9494,0.0592
0.0912,0.9201,0.0585
0.0624,0.8888,0.059
-0.065,0.9848,0.0746
-0.0252,0.9222,0.178
0.0069,0.9245,0.1757
-0.0201,0.9641,0.1354
-0.0528,1.0002,0.1344
-0.054,1.0014,0.1969
0.0157,0.8343,0.2263
-0.1176,0.8717,0.2248
-0.2348,0.945,0.2248
-0.1102,1.2785,-0.0345
0.0949,1.5277,-0.4501
0.2195,1.8744,-0.713
0.4203,1.8216,-0.673
0.4206,1.6669,-0.647
0.1778,1.3877,-0.4406
-0.0552,1.1436,-0.1694
-0.1579,1.0156,-0.1454
-0.1579,0.9562,-0.1733
-0.031,0.9279,-0.2376
0.0802,0.9264,-0.2374
0.1359,0.9567,-0.2354
0.2085,0.9552,-0.2097
0.2617,0.8781,-0.1487
0.188,0.8514,-0.1491
0.1228,0.8507,-0.1484
0.0949,0.8516,-0.1494
0.0341,0.8514,-0.1247
-0.0352,0.8832,-0.0995
-0.0357,0.9128,-0.1
-0.0354,0.9135,-0.0998
-0.0354,0.9135,-0.0998
0.0311,0.9128,-0.0712
0.0949,0.9124,-0.0184
0.0951,0.8866,-0.018
0.0641,0.9149,0.0135
0.0362,0.9147,0.0126
0.0072,0.8883,0.0103
0.0062,0.8612,-0.0159
0.0419,0.8928,-0.0145
0.0407,0.9171,-0.0133
0.0421,0.9182,-0.0143
0.1005,0.9462,0.0103
0.0949,1.0696,0.0096
0.07,1.0673,0.0115
-0.034,1.0992,0.0452
-0.1056,1.0703,0.0452
-0.0773,1.0405,0.076
-0.0506,0.9259,0.1041
-0.0487,0.9012,0.1037
0.0407,0.8365,0.1076
0.1762,0.9523,0.1063
0.2068,1.0205,0.1076
0.0898,1.0205,0.0797
0.0903,1.0456,0.0802
0.0912,1.0447,0.1105
0.0343,0.9142,0.1361
-0.0369,0.8343,0.1332
0.0744,0.8334,0.1943
0.0758,0.8343,0.2241
0.0749,0.8329,0.2255
0.0751,0.9157,0.1926
0.1035,1.1231,0.1266
-0.2334,1.9601,-0.2588
-0.3176,2.0833,-0.3996
-0.355,1.6435,-0.5302
-0.3008,1.2858,-0.4941
-0.1051,0.9853,-0.1643
0.0106,0.847,0.0098
0.0832,0.8746,0.0115
0.1262,0.9897,-0.1261
0.0516,1.0584,-0.3395
-0.0669,1.0884,-0.3839
-0.1422,0.9714,-0.2493
-0.1422,0.9054,-0.1511
-0.1149,0.879,-0.1171
-0.0872,0.848,-0.0805
-0.0855,0.8488,-0.0812
-0.0858,0.849,-0.1188
-0.0589,0.9091,-0.1188
-0.034,0.935,-0.0934
-0.0335,0.9594,-0.0621
-0.0895,0.9326,-0.0926
-0.0895,0.9326,-0.0926
-0.0892,0.9017,-0.0924
-0.0633,0.9035,-0.0934
-0.0648,0.9706,-0.0924
-0.0648,0.9706,-0.0924
-0.0562,1.0261,-0.0937
-0.024,0.9956,-0.0932
0.0031,0.9128,-0.093
-0.0582,0.8835,-0.0609
-0.0841,0.8241,-0.0255
-0.0841,0.8241,-0.0255
-0.052,0.7994,-0.0252
-0.0511,0.8008,-0.0267
-0.0494,0.9068,-0.025
-0.0137,0.9445,-0.026
-0.0137,0.9445,-0.026
0.0187,0.9413,-0.0229
0.0189,0.9436,-0.0514
-0.0413,1.009,0.0054
-0.0413,1.009,0.0054
-0.0418,0.9839,0.0049
-0.0433,0.9829,0.0059
-0.0988,1.0782,0.0797
-0.023,0.945,0.0792
-0.023,0.945,0.0792
-0.056,0.9467,0.078
-0.056,0.9731,0.078
0.0626,0.9296,0.1442
0.0385,0.9413,0.142
0.0385,0.9413,0.142
-0.1095,1.063,0.0599
-0.1356,1.0638,0.0606
0.037,0.9044,0.1217
0.0984,1.0542,0.1219
0.0984,1.0542,0.1219
0.037,1.4126,-0.0462
-0.0189,1.7095,-0.3387
0.1741,1.5013,-0.5405
0.1366,1.0622,-0.2163
0.1366,1.0622,-0.2163
0.1008,0.9604,-0.1496
0.0238,0.8651,-0.0609
-0.0426,0.942,-0.0241
0.0392,1.0366,-0.1987
0.0392,1.0366,-0.1987
0.1037,1.0356,-0.197
0.1343,1.0024,-0.1983
0.1326,0.9431,-0.1974
0.1343,0.9189,-0.1733
0.1343,0.9189,-0.1733
0.0971,0.9194,-0.1482
0.0739,0.9445,-0.1469
0.0721,0.9694,-0.1462
0.0483,0.9985,-0.2046
0.0483,0.9985,-0.2046
0.015,1,-0.206
0.0138,0.9988,-0.2048
0.0201,0.9665,-0.1711
0.0751,0.9678,-0.1474
0.0751,0.9678,-0.1474
0.1101,0.9391,-0.1466
0.1399,0.9387,-0.1462
0.1396,0.9389,-0.1464
0.1403,1.0102,-0.1457
0.1403,1.0102,-0.1457
0.1059,1.0381,-0.1459
0.0721,1.0376,-0.247
-0.0523,1.0906,-0.2842
-0.0525,1.1187,-0.2845
-0.0149,0.9567,-0.2859
-0.0149,0.9567,-0.2859
0.056,0.8866,-0.2214
0.057,0.8548,-0.0968
-0.052,0.9985,-0.0502
-0.077,1.0279,-0.0506
-0.077,1.0286,-0.0506
-0.1014,1.0557,-0.1951
-0.0452,1.0212,-0.1958
-0.0464,0.9968,-0.197
-0.0467,0.9692,-0.165
